"","x","y","Crime"
"217",-76.9973145232933,38.8842686383081,"THEFT"
"218",-77.0345909352806,38.9318886889853,"THEFT"
"219",-76.9862687767686,38.9059509998829,"BURGLARY/ROBBERY"
"220",-77.0398509317561,38.9169982443275,"THEFT"
"221",-76.9341740177203,38.8875021461483,"OTHER"
"222",-77.0312078159151,38.9286306152941,"THEFT"
"223",-76.9965794378256,38.8309477570033,"BURGLARY/ROBBERY"
"224",-77.0403049553194,38.9042332679345,"THEFT"
"225",-76.9901196379327,38.9050595623942,"BURGLARY/ROBBERY"
"226",-77.0308016524484,38.8961106203871,"THEFT"
"227",-77.0270715098116,38.971913250592,"SEX ABUSE"
"228",-77.024999256733,38.9832942533885,"BURGLARY/ROBBERY"
"229",-76.9762303866708,38.8954366354785,"THEFT"
"230",-77.023972581834,38.9162729057746,"THEFT"
"231",-77.0307985253849,38.9155686560547,"BURGLARY/ROBBERY"
"232",-77.0209142641042,38.9072381286297,"OTHER"
"233",-76.9293807805405,38.885832795756,"BURGLARY/ROBBERY"
"234",-76.917346315843,38.8990947752921,"BURGLARY/ROBBERY"
"235",-76.9539847303726,38.8918176345082,"OTHER"
"236",-77.0886427259329,38.948347356241,"BURGLARY/ROBBERY"
"237",-77.0267849881669,38.9747090217392,"OTHER"
"238",-77.041828298855,38.9068451540965,"THEFT"
"239",-77.0266866297457,38.9277759454574,"THEFT"
"240",-76.972837768876,38.8744733891701,"THEFT"
"241",-77.0434444449341,38.9072431838411,"THEFT"
"242",-76.9778103765835,38.9301550798676,"BURGLARY/ROBBERY"
"243",-77.0175580576469,38.9025183054248,"BURGLARY/ROBBERY"
"244",-76.9529030976317,38.9064107483388,"OTHER"
"245",-76.9836561770659,38.8862313529635,"THEFT"
"246",-76.9412452909083,38.908540445897,"THEFT"
"247",-76.9418814946001,38.9059914014712,"THEFT"
"248",-77.0240333563055,38.9563277508305,"BURGLARY/ROBBERY"
"249",-76.9800022279381,38.9281286055969,"THEFT"
"250",-77.0216013960196,38.9300200654339,"BURGLARY/ROBBERY"
"251",-77.0322903142097,38.9251260868186,"BURGLARY/ROBBERY"
"252",-76.954715166653,38.866972774383,"THEFT"
"253",-76.9338918806935,38.8934475150084,"BURGLARY/ROBBERY"
"254",-76.9645863850407,38.851553765932,"BURGLARY/ROBBERY"
"255",-77.046163571321,38.9072398889094,"THEFT"
"256",-76.981499604094,38.8909243956505,"THEFT"
"257",-76.9961850643951,38.8832416510657,"THEFT"
"258",-76.9723440384127,38.8995526018923,"THEFT"
"259",-77.0334193216466,38.9718787287771,"THEFT"
"260",-77.0109279599686,38.8197407571992,"THEFT"
"261",-77.0203524114258,38.9584594438705,"BURGLARY/ROBBERY"
"262",-77.0712793514285,38.9275251112908,"THEFT"
"263",-77.0354172999659,38.9286384237514,"BURGLARY/ROBBERY"
"264",-77.0189719243814,38.9736025377332,"THEFT"
"265",-77.0395718679751,38.9126071361258,"THEFT"
"266",-76.9601076779148,38.9291504557025,"THEFT"
"267",-76.9588079723915,38.923069391331,"BURGLARY/ROBBERY"
"268",-76.9339055610516,38.8911233624669,"THEFT"
"269",-77.0083921944474,38.8971953833928,"THEFT"
"270",-77.0004956710909,38.8609383493322,"THEFT"
"271",-77.0076748853922,38.8291987415894,"BURGLARY/ROBBERY"
