"Date","Volume","Adj.Close","Stock"
2014-05-12,-30519600,-44.83,"Difference"
2014-05-09,-43251800,-44.21,"Difference"
2014-05-08,-25453900,-44.46,"Difference"
2014-05-07,-28971600,-44.83,"Difference"
2014-05-06,-66528700,-45.48,"Difference"
2014-05-05,-49305900,-46.04,"Difference"
2014-05-02,-4462000,-44.6,"Difference"
2014-05-01,-32224600,-44.14,"Difference"
2014-04-30,-78701500,-43.55,"Difference"
2014-04-29,-54708200,-43.75,"Difference"
2014-04-28,-116761200,-43.65,"Difference"
2014-04-25,-40692000,-41.47,"Difference"
2014-04-24,-147596300,-40.92,"Difference"
2014-04-23,-74132200,-35.01,"Difference"
2014-04-22,-23584100,-35.7,"Difference"
2014-04-21,-23416000,-35.68,"Difference"
2014-04-17,-34394200,-34.73,"Difference"
2014-04-16,-23075600,-33.5,"Difference"
2014-04-15,-32653800,-33.99,"Difference"
2014-04-14,-19411900,-35.08,"Difference"
2014-04-11,-33599200,-34.76,"Difference"
2014-04-10,-13952200,-35.16,"Difference"
2014-04-09,-24143700,-35.03,"Difference"
2014-04-08,-25053500,-34.69,"Difference"
2014-04-07,-34903000,-34.72,"Difference"
2014-04-04,-17403200,-35.84,"Difference"
2014-04-03,-10446400,-35.69,"Difference"
2014-04-02,-16438500,-35.89,"Difference"
2014-04-01,-17585000,-35.7,"Difference"
2014-03-31,4719000,-35.42,"Difference"
2014-03-28,-6668300,-36.12,"Difference"
2014-03-27,-20138700,-37.14,"Difference"
2014-03-26,-32964500,-37.03,"Difference"
2014-03-25,-27380200,-37.23,"Difference"
2014-03-24,-42826800,-36.25,"Difference"
2014-03-21,-12789800,-35.7,"Difference"
2014-03-20,7170200,-34.94,"Difference"
2014-03-19,-20591800,-36.35,"Difference"
2014-03-18,11652100,-36.09,"Difference"
2014-03-17,-29406600,-36.91,"Difference"
2014-03-14,-32104200,-36.97,"Difference"
2014-03-13,-32266000,-37.62,"Difference"
2014-03-12,-19337500,-38.09,"Difference"
2014-03-11,-44589700,-38.26,"Difference"
2014-03-10,-25639400,-37.73,"Difference"
2014-03-07,-28590800,-37.58,"Difference"
2014-03-06,-22790000,-37.38,"Difference"
2014-03-05,-29495600,-37.64,"Difference"
2014-03-04,-37982600,-37.2,"Difference"
2014-03-03,-29977800,-37.32,"Difference"
2014-02-28,-51777200,-36.58,"Difference"
2014-02-27,-41567100,-37.23,"Difference"
2014-02-26,-28012500,-36.15,"Difference"
2014-02-25,-27251500,-36.75,"Difference"
2014-02-24,-40142300,-37.38,"Difference"
2014-02-21,-31674900,-36.77,"Difference"
2014-02-20,-48938400,-37.83,"Difference"
2014-02-19,-48691600,-38.94,"Difference"
2014-02-18,-32228900,-40.25,"Difference"
2014-02-14,-36823600,-40.05,"Difference"
2014-02-13,-39214000,-40.12,"Difference"
2014-02-12,-49973400,-39.06,"Difference"
2014-02-11,-38422800,-39.35,"Difference"
2014-02-10,-59622800,-38.73,"Difference"
2014-02-07,-59309600,-37.65,"Difference"
2014-02-06,-29089500,-37.01,"Difference"
2014-02-05,-26271800,-36.94,"Difference"
2014-02-04,-39472400,-35.89,"Difference"
2014-02-03,-36302900,-34.74,"Difference"
2014-01-31,-23037000,-33.28,"Difference"
2014-01-30,-134589100,-34.13,"Difference"
2014-01-29,-72956600,-34.46,"Difference"
2014-01-28,-230175300,-35.64,"Difference"
2014-01-27,-94298900,-42.07,"Difference"
2014-01-24,-30943200,-40.68,"Difference"
2014-01-23,-56855800,-42.83,"Difference"
2014-01-22,-73092000,-42.31,"Difference"
2014-01-21,-50564400,-41.72,"Difference"
2014-01-17,-60417400,-40.34,"Difference"
2014-01-16,-19300800,-41.75,"Difference"
2014-01-15,-53097100,-42.31,"Difference"
2014-01-14,-41517100,-41.73,"Difference"
2014-01-13,-48721300,-41.02,"Difference"
2014-01-10,-35695200,-39.59,"Difference"
2014-01-09,-33270900,-40.59,"Difference"
2014-01-08,-4660700,-41.34,"Difference"
2014-01-07,-43499500,-40.23,"Difference"
2014-01-06,-59549000,-41.04,"Difference"
2014-01-03,-66982100,-39.87,"Difference"
2014-01-02,-28039000,-41.33,"Difference"
2013-12-31,-38267600,-42.19,"Difference"
2013-12-30,-47116900,-41.39,"Difference"
2013-12-27,-41908100,-42.17,"Difference"
2013-12-26,-33389200,-42.57,"Difference"
2013-12-24,-27645700,-43.45,"Difference"
2013-12-23,-100197900,-44.24,"Difference"
2013-12-20,-46454300,-41.1,"Difference"
2013-12-19,-45917100,-41,"Difference"
2013-12-18,-78273700,-41.56,"Difference"
2013-12-17,-11787900,-42.22,"Difference"
2013-12-16,-38914000,-42.21,"Difference"
2013-12-13,-43139400,-41.97,"Difference"
2013-12-12,-29559700,-42.31,"Difference"
2013-12-11,-50076300,-42.04,"Difference"
2013-12-10,-31738800,-42.14,"Difference"
2013-12-09,-49837400,-41.67,"Difference"
2013-12-06,-49630800,-41.12,"Difference"
2013-12-05,4410000,-42.58,"Difference"
2013-12-04,-42468800,-41.25,"Difference"
2013-12-03,-60632200,-42.06,"Difference"
2013-12-02,-75185800,-39.8,"Difference"
2013-11-29,-57441500,-40.79,"Difference"
2013-11-27,-64860000,-39.89,"Difference"
2013-11-26,-65880400,-38.37,"Difference"
2013-11-25,-26681100,-36.73,"Difference"
2013-11-22,-27949400,-36.24,"Difference"
2013-11-21,-42442000,-36.6,"Difference"
2013-11-20,-16249300,-36.05,"Difference"
2013-11-19,-7959700,-37.02,"Difference"
2013-11-18,-7958500,-36.72,"Difference"
2013-11-15,-28878800,-36.99,"Difference"
2013-11-14,-24421100,-37.26,"Difference"
2013-11-13,-4347600,-36.06,"Difference"
2013-11-12,-19417600,-36.75,"Difference"
2013-11-11,-29990600,-36.4,"Difference"
2013-11-08,-33091400,-36.42,"Difference"
2013-11-07,-5217700,-35.56,"Difference"
2013-11-06,33104900,-36.08,"Difference"
2013-11-05,-14621400,-37.79,"Difference"
2013-11-04,-33096200,-38.65,"Difference"
2013-11-01,-28457900,-38.11,"Difference"
2013-10-31,-27241800,-38.6,"Difference"
2013-10-30,-51543200,-38.78,"Difference"
2013-10-29,-127249600,-37.65,"Difference"
2013-10-28,-99226600,-39.45,"Difference"
2013-10-25,29046000,-38.75,"Difference"
2013-10-24,-42981500,-41.53,"Difference"
2013-10-23,-19830300,-40.52,"Difference"
2013-10-22,-93077400,-39.01,"Difference"
2013-10-21,-72093200,-38.83,"Difference"
2013-10-18,-30823800,-37.1,"Difference"
2013-10-17,-32039100,-36.53,"Difference"
2013-10-16,-27663700,-36.34,"Difference"
2013-10-15,-32920600,-36.14,"Difference"
2013-10-14,-37716600,-35.81,"Difference"
2013-10-11,-36901400,-35.67,"Difference"
2013-10-10,-26775600,-35.58,"Difference"
2013-10-09,-39552700,-35.83,"Difference"
2013-10-08,-31711700,-35.1,"Difference"
2013-10-07,-43003800,-35.77,"Difference"
2013-10-04,-31709000,-34.54,"Difference"
2013-10-03,-41984500,-34.61,"Difference"
2013-10-02,-25349200,-35.42,"Difference"
2013-10-01,-51752200,-35.53,"Difference"
2013-09-30,-25199600,-34.25,"Difference"
2013-09-27,-1662100,-35.1,"Difference"
2013-09-26,-30801400,-36.07,"Difference"
2013-09-25,-50331800,-35.67,"Difference"
2013-09-24,-50401100,-36.78,"Difference"
2013-09-23,-150700600,-36.71,"Difference"
2013-09-20,-71920800,-33.42,"Difference"
2013-09-19,-59108700,-33.28,"Difference"
2013-09-18,-50115600,-32.53,"Difference"
2013-09-17,-15128700,-31.6,"Difference"
